Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Chandanpuri,Sinnar,2.03,Red,3,Agricultural,1,0,50,17.3,Canal,7,2,0,183500,174500
Karanjwan,Niphad,4.5,Red,6,Residential,1,0,23,7.4,Canal,9,0,0,663000,648000
Trimbak Road,Nashik,5.73,Red,3,Agricultural,0,1,54,10.6,None,3,1,0,296500,288500
Dwarka,Nashik,15.16,Red,3,Agricultural,1,1,82,22.8,Well,10,5,0,404500,363000
Mungse,Sinnar,3.99,Black,10,NA,1,1,55,15.3,Well,8,0,0,600000,600000
Nandur,Yeola,16.21,Red,3,NA,1,1,80,28.6,River,1,3,1,168000,171000
Kherwadi,Sinnar,8.21,Black_Red_Mixed,6,Commercial,1,1,53,29.5,Borewell,3,0,0,947500,948000
Ozar,Nashik,13.22,Black_Red_Mixed,7,Agricultural,0,1,53,20.4,Borewell,6,0,0,528000,519500
Devdhari,Sinnar,7.28,Black_Red_Mixed,6,Agricultural,1,0,54,9.4,Canal,7,1,0,238000,214500
Umrane,Chandwad,14.08,Black_Red_Mixed,7,Residential,1,1,97,27.4,Borewell,7,4,0,188000,182500
Dwarka,Nashik,23.79,Black,10,Agricultural,1,0,47,25.3,Borewell,9,5,1,395000,385500
Karanjwan,Niphad,21.94,Black_Red_Mixed,8,Agricultural,0,1,89,24.3,Borewell,8,0,0,280500,264500
Wadangali,Sinnar,24.25,Black_Red_Mixed,8,Agricultural,0,1,70,27.1,Borewell,10,3,0,174500,172500
Nandur,Nashik,12.7,Black_Red_Mixed,6,Residential,1,0,42,1.7,Well,6,4,1,1055000,1085000
Dhodambe,Yeola,21.32,Black,8,Agricultural,1,0,65,2.8,None,8,2,1,74000,84000
Nandur,Nashik,12.67,Black,7,Agricultural,0,1,93,10.1,Borewell,1,2,1,437000,442500
Gangapur,Nashik,19.03,Black_Red_Mixed,5,Commercial,0,0,29,16.5,River,9,3,0,2191000,2230500
Anandwalli,Nashik,3.27,Black,10,Agricultural,1,1,78,0.6,Canal,4,5,0,800000,796000
Girnare,Nashik,8.98,Black_Red_Mixed,6,NA,0,1,18,28.6,Canal,9,4,0,829500,718000
Harsul,Chandwad,15.98,Red,5,Residential,1,0,40,22,Canal,10,5,0,143500,143000
Devpur,Niphad,13.76,Red,4,Residential,1,1,71,19,River,2,5,0,499000,501000
Anandwalli,Nashik,5.24,Red,3,Agricultural,0,1,79,14.3,Borewell,4,2,0,425000,498500
Nampur,Yeola,7.01,Red,6,Residential,1,1,59,10.2,Borewell,8,2,1,211500,208500
Wadivarhe,Sinnar,18.25,Black,8,Agricultural,0,0,94,8.9,Well,7,1,0,175000,178500
Deolali,Nashik,18.24,Red,7,Commercial,0,1,17,2.3,Canal,6,4,1,2698000,2691500
Sinnar,Sinnar,3.78,Black_Red_Mixed,8,Agricultural,0,1,56,10.9,None,1,4,0,115000,105500
Peth,Nashik,9.46,Red,7,Agricultural,1,1,45,7.6,Borewell,3,3,0,648000,700000
Nandgaon,Chandwad,6.73,Black,10,Agricultural,1,1,72,6.1,Borewell,2,3,0,120000,120000
Nandur,Yeola,20.31,Red,5,NA,1,1,47,26.8,None,3,2,0,144000,152000
Ozar,Niphad,19.85,Black,10,Agricultural,1,1,80,4,None,2,2,0,278500,261000
Umrane,Yeola,13.26,Red,7,Agricultural,1,1,67,14,Canal,3,4,0,125500,138000
Vinchur,Niphad,10.96,Red,3,Residential,1,1,30,9.7,River,6,4,1,420500,379000
Kadwa,Yeola,5.11,Red,5,Agricultural,0,1,74,19.3,Canal,10,1,0,103000,107000
Wavi,Sinnar,8.61,Red,3,Residential,0,0,92,23.2,Borewell,4,4,0,309500,357000
Malegaon,Sinnar,22.25,Black_Red_Mixed,7,Agricultural,1,1,48,13.7,Canal,3,3,0,246000,229000
Trimbak Road,Nashik,15.26,Black,9,Residential,1,1,26,22.8,Canal,2,2,0,1743000,1674000
Kasbe Sukene,Niphad,6.39,Black,9,Commercial,1,1,30,24.4,None,6,1,0,828500,834500
Pimpalgaon Khamb,Nashik,11.8,Red,6,Agricultural,1,1,40,6.5,Well,1,2,0,611000,589500
Borgaon,Chandwad,7.32,Black,7,Agricultural,1,1,61,11,Well,10,4,0,87500,78000
Wadivarhe,Sinnar,9.81,Black_Red_Mixed,7,Residential,1,1,26,29.3,Well,6,4,1,329000,330500
Karanjkhed,Yeola,15.16,Black_Red_Mixed,5,Agricultural,0,1,70,15.6,Borewell,9,1,0,96500,89500
Mulegaon,Sinnar,9.98,Black_Red_Mixed,7,NA,1,1,72,21.3,Borewell,1,2,0,540000,558000
Thengode,Niphad,14.7,Red,3,NA,0,1,84,17.4,River,10,3,0,403000,377000
Wavi,Sinnar,19.42,Black,8,Agricultural,1,0,12,13.3,Well,7,5,0,156000,173000
Wavi,Sinnar,23.03,Red,3,Residential,1,1,94,14.4,Well,3,3,1,321500,304000
Peth,Nashik,16.98,Red,5,NA,0,0,81,9,None,5,2,0,532500,520500
Malegaon,Sinnar,8.1,Black,9,Agricultural,1,1,60,24.6,None,3,2,0,162000,171000
Vani,Chandwad,8.82,Black_Red_Mixed,7,Residential,0,1,44,28,Canal,3,0,0,221000,202000
Wadangali,Sinnar,1.51,Red,4,NA,0,1,70,3.1,River,1,4,1,341000,346500
Watane,Niphad,12.07,Black,9,Agricultural,1,1,21,19.6,Borewell,1,1,0,342000,373500
Manur,Yeola,24.93,Black,10,Agricultural,1,1,47,26.3,Borewell,10,4,0,120000,106500
Umrane,Chandwad,11.5,Black_Red_Mixed,8,Residential,0,1,44,5.9,Borewell,3,5,0,177500,180000
Dwarka,Nashik,0.6,Black,9,NA,1,0,91,26.9,River,9,2,0,1207500,1229500
Mulegaon,Sinnar,24.55,Black_Red_Mixed,6,Agricultural,1,1,44,28.6,Well,10,0,0,219500,231500
Adgaon,Nashik,1.79,Black,9,Agricultural,1,1,100,23.1,Canal,5,2,0,750000,685000
Vinchur,Niphad,12.09,Black_Red_Mixed,7,Agricultural,1,1,78,24.1,River,4,5,0,272000,247000
Vani,Chandwad,13.26,Black_Red_Mixed,7,Agricultural,1,0,80,27.1,Borewell,9,1,0,92000,95500
Thergaon,Chandwad,3.13,Black,10,Agricultural,1,1,68,4,Well,10,0,0,120000,120000
Tarsa,Sinnar,18.15,Black,7,Residential,1,0,54,21,Canal,1,0,1,432500,440000
Anandwalli,Nashik,10.37,Red,6,Agricultural,1,1,58,11.3,Canal,9,1,0,728000,745500
Dwarka,Nashik,24.82,Black,8,Residential,0,0,12,29.4,Well,9,3,0,1011500,963500
Vithapur,Yeola,11.65,Black,8,Commercial,1,0,94,12.6,River,1,1,0,462000,469500
Lasalgaon,Niphad,11.3,Black_Red_Mixed,5,Agricultural,0,1,79,6.6,None,1,1,0,176000,179500
Panchak,Nashik,8.14,Black_Red_Mixed,7,Agricultural,1,1,76,6.7,Well,1,4,1,478000,454000
Pimpalgaon Dohe,Chandwad,15.74,Black_Red_Mixed,8,Agricultural,0,1,58,23.6,Well,7,3,0,69000,78000
Waghad,Nashik,11.97,Red,5,Residential,0,1,17,16.9,None,9,4,0,722500,746500
Mhasrul,Nashik,8.42,Black,10,Residential,0,1,34,1.6,Well,10,4,0,1588000,1455500
Darna,Niphad,18.18,Black_Red_Mixed,8,Agricultural,1,1,11,6.4,Borewell,2,5,1,240500,251500
Adgaon,Nashik,17.47,Black_Red_Mixed,8,Commercial,1,1,58,14,Canal,5,2,0,3639000,3390500
Thergaon,Chandwad,2.69,Red,6,Residential,0,0,50,12.5,Canal,4,5,0,141000,149000
Panchak,Nashik,14.58,Black_Red_Mixed,6,Agricultural,0,1,41,15,Canal,6,2,0,505000,546000
Kotamgaon,Nashik,11.66,Black_Red_Mixed,7,Agricultural,1,1,79,29.7,None,9,0,1,368500,347500
Lasalgaon,Niphad,19.17,Black_Red_Mixed,6,Agricultural,0,0,68,11.3,Canal,10,3,0,217000,231500
Bhojapur,Niphad,13.9,Black,9,Agricultural,0,1,99,20.3,River,3,0,1,254500,262000
Wadangali,Sinnar,5,Black_Red_Mixed,7,Agricultural,1,1,61,13.8,Borewell,4,2,0,242500,256500
Manur,Yeola,2.56,Black,10,Agricultural,0,0,73,25.4,Canal,6,4,1,72500,82000
Raipur,Chandwad,23,Black,10,Agricultural,1,1,45,27,Canal,1,1,1,103000,101000
Mhasrul,Nashik,14.78,Red,6,Commercial,0,1,82,25.1,Well,9,2,0,2599500,2462500
Nandur,Yeola,12.64,Red,3,Agricultural,0,0,87,23.1,None,7,2,0,46000,43000
Ozar,Nashik,12.39,Black,10,Agricultural,1,1,20,23.2,Borewell,4,5,0,552000,520500
Nandur,Nashik,17.86,Black_Red_Mixed,8,Agricultural,0,0,49,13.4,River,2,1,0,482500,480000
Waghad,Nashik,13.98,Black_Red_Mixed,5,Agricultural,1,1,51,25.9,Borewell,7,3,0,528500,541000
Chandrapur,Yeola,22.65,Red,7,Agricultural,1,0,44,9.1,Well,2,1,0,110500,112500
Kotamgaon,Nashik,19.62,Black,8,Residential,1,1,68,3.3,Well,7,2,1,1448000,1532000
Trimbak Road,Nashik,11.15,Black_Red_Mixed,6,Agricultural,1,1,71,9.5,None,6,2,0,428500,429000
Jategaon,Sinnar,19.6,Black,9,Residential,1,0,82,6.1,None,3,5,0,293500,323500
Kasbe Sukene,Niphad,23.59,Black,9,Residential,0,1,62,20.2,Borewell,5,1,0,666000,653500
Thengode,Niphad,19.78,Black,10,NA,1,1,98,12.6,Borewell,6,5,1,500500,596000
Wadivarhe,Sinnar,2.96,Black,9,Agricultural,1,1,92,20.4,Well,6,3,0,223500,233500
Tambepada,Niphad,12.89,Black_Red_Mixed,6,Agricultural,1,1,85,20.7,Borewell,1,3,0,288500,271000
Satpur,Nashik,3.12,Red,4,Agricultural,0,1,76,14.5,Well,8,5,0,337000,311500
Anandwalli,Nashik,1.36,Black_Red_Mixed,5,Residential,1,1,31,27.9,River,9,1,0,1513500,1564500
Vadgaon,Nashik,23.97,Black,10,NA,0,1,60,1,Canal,4,3,0,1424500,1402000
Mhasrul,Nashik,5.34,Red,3,NA,1,1,56,9.8,Well,5,5,1,682000,716000
Mungse,Sinnar,15.03,Black_Red_Mixed,5,Agricultural,1,1,96,21.2,Borewell,10,4,0,197000,203500
Chandori,Niphad,6.15,Black,9,NA,1,1,27,17.3,Well,8,5,0,490000,487500
Pimpalgaon Dohe,Chandwad,13.98,Black_Red_Mixed,6,Agricultural,1,1,55,28.6,Well,4,3,1,67000,63000
Malegaon,Sinnar,10.38,Black_Red_Mixed,8,Agricultural,0,0,38,8.8,Borewell,9,2,0,171000,153000
Kotamgaon,Nashik,13.86,Black,7,Agricultural,1,1,79,24.7,Borewell,8,4,0,556000,538500
Adgaon,Nashik,7.62,Red,6,Agricultural,1,0,25,23.3,Borewell,10,5,0,406000,430500
Khamgaon,Yeola,4.36,Black,8,Residential,1,1,78,8.5,Canal,6,5,0,262000,266000
Khambale,Sinnar,24.64,Black_Red_Mixed,5,Agricultural,1,1,17,29.8,None,3,5,1,90000,82000
Trimbak Road,Nashik,20.75,Red,6,Agricultural,1,0,63,11.3,Borewell,2,3,0,516000,522500
Peth,Nashik,11.5,Black_Red_Mixed,5,Residential,1,0,68,19.1,Canal,2,4,0,1188000,1220000
Kalwan,Chandwad,12.49,Black,9,Agricultural,1,1,72,23.7,None,1,0,0,79000,74000
Shedbol,Yeola,0.65,Red,4,Agricultural,0,1,35,29.9,None,5,1,1,45500,46000
Vani,Chandwad,16.45,Black,9,NA,1,0,90,9.2,Canal,4,3,0,208500,209500
Yeola,Yeola,5.53,Black,8,Agricultural,1,0,53,24.5,None,7,5,0,59000,54500
Pimpalgaon Baswant,Niphad,2.46,Red,3,Agricultural,1,0,27,19.3,Canal,2,4,0,210000,215500
Mulegaon,Sinnar,11.14,Black_Red_Mixed,6,Commercial,1,1,37,2.7,Borewell,2,4,0,898000,933500
Vadgaon,Nashik,8.03,Black,9,NA,0,1,87,8.6,None,1,5,1,501000,539000
Kasarwadi,Niphad,12.86,Black_Red_Mixed,7,NA,1,1,40,14.9,Borewell,8,5,0,509500,547000
Sinnar,Sinnar,24.68,Red,4,Agricultural,1,1,79,20.5,River,2,0,0,243000,219500
Ozar,Niphad,1.24,Black,10,Agricultural,1,1,63,12.8,Well,9,4,0,296500,277000
Anandwalli,Nashik,2.21,Red,4,Agricultural,1,1,93,20.5,Borewell,7,5,1,387000,401000
Adgaon,Nashik,2.38,Black_Red_Mixed,8,NA,0,1,94,22.2,Borewell,3,5,0,838000,868000
Peth,Nashik,13.19,Red,5,Agricultural,0,1,44,22,Borewell,1,2,1,354000,367000
Satpur,Nashik,6.76,Red,3,Agricultural,1,0,82,5.1,Borewell,2,4,0,480500,610000
Mhasrul,Niphad,0.31,Red,3,Agricultural,1,1,29,5.5,None,1,4,1,141000,146500
Khamgaon,Yeola,5.81,Black,9,Agricultural,0,1,74,20.2,Borewell,4,4,1,76500,82500
Vani,Chandwad,21.96,Red,5,Agricultural,1,0,35,8.8,River,10,1,0,94000,100500
Malegaon,Sinnar,24.95,Red,7,Residential,0,0,62,0.8,Canal,1,2,0,580000,600000
Tarsa,Sinnar,2.82,Black_Red_Mixed,6,Agricultural,1,1,28,21.4,Borewell,4,4,0,192500,188500
Thergaon,Chandwad,24.37,Black,7,Agricultural,1,1,85,17.1,Well,3,1,0,101500,107000
Saptashringi,Chandwad,17.59,Black_Red_Mixed,7,Agricultural,0,1,27,23.4,Canal,3,0,0,90000,85000
Vadgaon,Nashik,3.24,Black,8,Agricultural,1,1,21,4.8,Canal,10,0,0,800000,786500
Uchit,Chandwad,2.51,Black,9,Agricultural,0,0,32,1,Well,8,4,0,74000,71500
Ozar,Nashik,2.77,Red,3,Agricultural,1,1,26,6,Well,2,4,0,475000,477500
Vani,Chandwad,0.79,Black,10,Residential,0,1,52,3.8,None,1,1,1,138000,160500
Nandur,Nashik,12.53,Black,10,Agricultural,0,0,45,13.4,Borewell,10,4,0,417000,362500
Malegaon,Sinnar,10.45,Black_Red_Mixed,5,Agricultural,1,1,92,26.6,Canal,9,0,1,216000,226500
Sonaj,Yeola,12.12,Red,5,Commercial,1,1,33,0.9,Canal,1,2,0,500000,443500
Raipur,Chandwad,9.1,Black_Red_Mixed,6,Commercial,0,1,44,16.1,River,1,1,0,341000,329500
Saptashringi,Chandwad,9.03,Red,4,Agricultural,1,1,99,10.8,Canal,6,4,0,95500,103000
Kherwadi,Sinnar,20.96,Red,6,Agricultural,0,0,17,7.1,Borewell,9,3,0,150000,150500
Kalwan,Chandwad,20.21,Black,8,Commercial,1,1,12,4.5,River,3,0,1,380500,352000
Vani,Chandwad,9.5,Red,6,NA,0,1,30,22,Well,8,5,0,108000,102500
Chandrapur,Yeola,17.42,Red,5,Agricultural,1,0,49,22,Borewell,3,5,0,80500,84500
Borwadi,Yeola,9.94,Red,7,Agricultural,1,1,88,6.7,Canal,8,1,0,150000,142500
Devpur,Niphad,24.56,Black,7,Residential,1,1,52,13.5,Borewell,4,5,0,541500,549500
Ambad,Nashik,18.08,Black,10,Residential,1,1,73,26.5,Well,7,0,1,1443500,1448000
Borwadi,Yeola,16.36,Black_Red_Mixed,6,Agricultural,1,0,12,9.6,None,2,2,0,68500,65500
Satpur,Nashik,13.79,Red,3,Agricultural,1,1,100,1,None,3,4,1,339500,390500
Chandori,Niphad,8.44,Red,6,NA,1,1,43,19.9,Borewell,2,0,0,642500,671000
Malegaon,Sinnar,4.05,Black,10,Agricultural,1,1,71,6.1,Borewell,3,5,0,252500,216500
Chandori,Niphad,7.88,Black,10,Residential,0,1,59,5.6,None,6,1,0,504000,510500
Ozar,Nashik,6.77,Red,7,Agricultural,1,1,20,20.1,River,7,4,0,555500,530000
Pimpalgaon Baswant,Niphad,20.51,Black_Red_Mixed,8,NA,0,0,60,27.1,River,9,4,1,315500,334500
Wakad,Yeola,3.9,Red,6,Agricultural,1,1,34,3.9,Well,7,1,1,111500,105500
Wavi,Sinnar,6.63,Red,3,Agricultural,1,1,45,15.6,None,1,5,0,108000,107000
Umbarkhed,Sinnar,3.03,Black,7,Commercial,1,0,46,26,None,7,2,0,491000,508500
Girnare,Nashik,11.96,Black,10,Agricultural,1,1,14,11.9,None,4,0,0,509000,540000
Deher,Chandwad,0.75,Red,5,Agricultural,1,1,97,3,None,3,2,1,64000,58500
Trimbak Road,Nashik,6.92,Black_Red_Mixed,5,Agricultural,0,1,72,22.8,None,1,4,0,256500,250500
Mhasrul,Niphad,10.23,Red,7,Residential,0,0,35,25.1,Borewell,8,0,1,441000,426500
Kadwa,Yeola,9.37,Black_Red_Mixed,8,NA,0,0,57,14.7,Well,8,4,0,138000,131500
Pathardi,Nashik,18.79,Black_Red_Mixed,7,Agricultural,0,1,37,25.7,Canal,4,2,0,501000,563000
Sinnar,Sinnar,11.98,Black,8,NA,0,0,49,21.4,River,5,3,1,291500,300000
Thergaon,Chandwad,6.49,Black_Red_Mixed,8,NA,0,1,57,16.9,Canal,5,2,0,174000,158500
Trimbak Road,Nashik,24.71,Black_Red_Mixed,7,Agricultural,1,1,48,5.7,Canal,4,0,1,706000,751500
Wakad,Yeola,10.25,Black,8,Residential,1,1,43,27.2,Well,1,4,0,212000,243500
Kherwadi,Sinnar,8.74,Black_Red_Mixed,8,Commercial,1,1,31,25.2,None,3,2,0,589000,631500
Abhona,Niphad,18.2,Black_Red_Mixed,6,Commercial,1,1,38,10.7,River,5,3,0,1093500,977000
